n	avg	p25	p75
1	-nan	0.5	0.5
2	-nan	0.5	0.5
3	0	0	0
4	0.363636	0	1
5	0.636364	0	1
6	1.29577	0	2
7	1.98046	1	3
8	2.57903	2	4
9	3.51801	2	5
10	4.24911	3	6
11	5.4033	4	7
12	6.33327	5	8
13	7.69922	6	10
