size	value	prob
23	8	0.993515
23	9	0.99906
23	10	0.999905
23	11	0.999994
23	12	1

24	0	0.000958
24	1	0.011688
24	2	0.0626458
24	3	0.198466
24	4	0.424666
24	5	0.673063
24	6	0.858718
24	7	0.954749
24	8	0.989441
24	9	0.998233
24	10	0.999791
24	11	0.999982
24	12	0.999999
24	13	1

25	0	0.00067872
25	1	0.00867698
25	2	0.0491772
25	3	0.164777
25	4	0.372018
25	5	0.619216
25	6	0.821388
25	7	0.936895
25	8	0.98351
25	9	0.996864
25	10	0.999569
25	11	0.999958
25	12	0.999997
25	13	1

26	0	0.00050141
26	1	0.00669526
26	2	0.0395326
26	3	0.138413
26	4	0.326984
26	5	0.568164
26	6	0.781996
26	7	0.915777
26	8	0.97554
26	9	0.994735
26	10	0.999169
26	11	0.999906
26	12	0.999992
26	13	1

27	0	0.00035549
27	1	0.00497387
27	2	0.0308603
27	3	0.113611
27	4	0.28233
27	5	0.51447
27	6	0.737337
27	7	0.889676
27	8	0.964749
27	9	0.991521
27	10	0.998486
27	11	0.999801
27	12	0.999981
27	13	0.999999
27	14	1

28	0	0.00026167
28	1	0.00380944
28	2	0.0245848
28	3	0.0943956
28	4	0.24487
28	5	0.465349
28	6	0.692718
28	7	0.860884
28	8	0.951379
28	9	0.987065
28	10	0.997405
28	11	0.999614
28	12	0.999957
28	13	0.999997
28	14	1

29	0	0.00018409
29	1	0.00281822
29	2	0.0190703
29	3	0.0767145
29	4	0.208716
29	5	0.415244
29	6	0.644009
29	7	0.827059
29	8	0.934336
29	9	0.980816
29	10	0.99573
29	11	0.999283
29	12	0.999908
29	13	0.999991
29	14	0.999999
29	15	1
29	16	1

30	0	0.00013701
30	1	0.00215547
30	2	0.0151036
30	3	0.0631473
30	4	0.178893
30	5	0.370596
30	6	0.596898
30	7	0.7912
30	8	0.914463
30	9	0.972689
30	10	0.993259
30	11	0.998733
30	12	0.999821
30	13	0.999981
30	14	0.999999
30	15	1

31	0	9.764e-05
31	1	0.00159754
31	2	0.0116397
31	3	0.0509258
31	4	0.150763
31	5	0.326251
31	6	0.547151
31	7	0.750844
31	8	0.890394
31	9	0.962005
31	10	0.989741
31	11	0.997866
31	12	0.999659
31	13	0.999959
31	14	0.999996
31	15	1
31	16	1

32	0	7.105e-05
32	1	0.00121085
32	2	0.00914115
32	3	0.041537
32	4	0.127861
32	5	0.287658
32	6	0.5007
32	7	0.709998
32	8	0.863772
32	9	0.949061
32	10	0.984988
32	11	0.996554
32	12	0.999386
32	13	0.999916
32	14	0.999991
32	15	0.999999
32	16	1
32	17	1

33	0	5.052e-05
33	1	0.00089265
33	2	0.00702905
33	3	0.0332061
33	4	0.106505
33	5	0.249993
33	6	0.452882
33	7	0.665406
33	8	0.832747
33	9	0.932829
33	10	0.978588
33	11	0.994621
33	12	0.998947
33	13	0.99984
33	14	0.999981
33	15	0.999998
33	16	1

34	0	3.739e-05
34	1	0.0006795
34	2	0.0055051
34	3	0.0269095
34	4	0.0895463
34	5	0.21797
34	6	0.409353
34	7	0.621783
34	8	0.799962
34	9	0.914146
34	10	0.97046
34	11	0.991909
34	12	0.998245
34	13	0.999701
34	14	0.999961
34	15	0.999996
34	16	1
34	17	1

35	0	2.664e-05
35	1	0.00049724
35	2	0.00420145
35	3	0.0213567
35	4	0.0739342
35	5	0.187351
35	6	0.365845
35	7	0.575689
35	8	0.763085
35	9	0.891661
35	10	0.959954
35	11	0.988143
35	12	0.997208
35	13	0.999485
35	14	0.999924
35	15	0.999992
35	16	0.999999
35	17	1

36	0	1.919e-05
36	1	0.00037502
36	2	0.00327312
36	3	0.0172144
36	4	0.061632
36	5	0.161678
36	6	0.326933
36	7	0.531738
36	8	0.725545
36	9	0.867105
36	10	0.947511
36	11	0.98325
36	12	0.99571
36	13	0.999124
36	14	0.999857
36	15	0.999981
36	16	0.999998
36	17	1
36	18	1

37	0	1.388e-05
37	1	0.00027868
37	2	0.0024917
37	3	0.0135662
37	4	0.0504565
37	5	0.137541
37	6	0.288705
37	7	0.486384
37	8	0.684555
37	9	0.838577
37	10	0.932108
37	11	0.97676
37	12	0.993574
37	13	0.998569
37	14	0.999744
37	15	0.999964
37	16	0.999996
37	17	1
37	18	1

38	0	9.9e-06
38	1	0.00020847
38	2	0.00194202
38	3	0.0108687
38	4	0.0417417
38	5	0.117624
38	6	0.255227
38	7	0.444147
38	8	0.643889
38	9	0.808239
38	10	0.914455
38	11	0.968708
38	12	0.990683
38	13	0.997763
38	14	0.999566
38	15	0.999933
38	16	0.999992
38	17	0.999999
38	18	1

39	0	7.22e-06
39	1	0.0001517
39	2	0.00146493
39	3	0.0085295
39	4	0.0339539
39	5	0.0992032
39	6	0.223082
39	7	0.401811
39	8	0.600883
39	9	0.774382
39	10	0.893595
39	11	0.958578
39	12	0.986787
39	13	0.99657
39	14	0.999281
39	15	0.999879
39	16	0.999984
39	17	0.999998
39	18	1
39	19	1

