size	value	prob

3	0	1

4	0	1

5	0	0.413793
5	1	1

6	0	0.335766
6	1	1

7	0	0.241259
7	1	1

8	0	0.193059
8	1	1

9	0	0.119044
9	1	0.850752
9	2	1

10	0	0.0912268
10	1	0.830345
10	2	1

11	0	0.0636429
11	1	0.797239
11	2	1

12	0	0.0483903
12	1	0.776913
12	2	1

13	0	0.10786
13	1	2.37216
13	2	3.17538
13	3	3.22375

