n	avg	p25	p75
1	-nan	0.5	0.5
2	-nan	0.5	0.5
3	0.2	0	0
4	1.30435	0	2
5	2.61345	1	4
6	4.29068	3	6
7	6.28052	4	8
8	8.67827	6	11
9	11.4165	9	14
10	14.5555	11	18
11	18.0455	14	22
12	21.9318	18	26
13	26.1731	21	31
