n	avg	p25	p75
1	-nan	0.5	0.5
2	-nan	0.5	0.5
3	-nan	0.5	0.5
4	-nan	0.5	0.5
5	-nan	0.5	0.5
6	-nan	0.5	0.5
7	-nan	0.5	0.5
8	-nan	0.5	0.5
9	-nan	0.5	0.5
10	-nan	0.5	0.5
11	0	0	0
12	0	0	0
13	0	0	0
14	0	0	0
15	0.000911491	0	0
16	0.00108334	0	0
17	0.00181595	0	0
18	0.00208178	0	0
19	0.00308649	0	0
20	0.00352148	0	0
21	0.00475851	0	0
22	0.00535497	0	0
23	0.00689456	0	0
24	0.00765528	0	0
25	0.00942995	0	0
26	0.0103653	0	0
27	0.0124061	0	0
28	0.0135368	0	0
29	0.0158407	0	0
30	0.0172117	0	0
31	0.01976	0	0
32	0.0213071	0	0
33	0.0241139	0	0
34	0.0258568	0	0
35	0.0288741	0	0
36	0.0308833	0	0
37	0.0342141	0	0
38	0.0363421	0	0
